Time,Dis_Dmp_LF,Dis_Dmp_LR,Dis_Dmp_RF,Dis_Dmp_RR,WFT_Fx_LF,WFT_Fx_LR,WFT_Fx_RF,WFT_Fx_RR,WFT_Fy_LF,WFT_Fy_LR,WFT_Fy_RF,WFT_Fy_RR,WFT_Fz_LF,WFT_Fz_LR,WFT_Fz_RF,WFT_Fz_RR,WFT_Mx_LF,WFT_Mx_LR,WFT_Mx_RF,WFT_Mx_RR,WFT_My_LF,WFT_My_LR,WFT_My_RF,WFT_My_RR,WFT_Mz_LF,WFT_Mz_LR,WFT_Mz_RF,WFT_Mz_RR
0.0645,-63351.7563,-39407.7334,-27824.4682,-18071.2384,2011163.5389,1552603.1373,2541400.9398,1080211.2935,2822269.2311,1502273.8315,1362745.1984,1581390.0073,4361229.2763,2242749.7626,1220587.9691,753389.3870,1322550.6947,718023.0176,267860.2450,507673.3391,-115630.4576,-423.9616,-127869.9478,1204.3253,-104119.6346,-121454.5893,294487.1637,109896.5909
0.0664,-66109.3980,-41514.2662,-29159.5392,-18888.5324,2098653.5412,1616971.6451,2659026.8128,1136727.1117,2937836.8949,1576220.0282,1432050.5570,1652947.6824,4538130.1390,2347232.3501,1271733.7361,781978.7947,1375357.4481,751440.6059,281606.0720,529688.0973,-122393.2582,-524.0328,-134602.6584,1234.1690,-107651.7514,-125360.8570,309001.5888,116824.8082
0.0684,-68867.0398,-43620.7990,-30494.6102,-19705.8264,2186143.5436,1681340.1528,2776652.6857,1193242.9300,3053404.5588,1650166.2250,1501355.9157,1724505.3575,4715031.0017,2451714.9376,1322879.5030,810568.2024,1428164.2014,784858.1942,295351.8991,551702.8556,-129156.0587,-624.1040,-141335.3690,1264.0127,-111183.8681,-129267.1248,323516.0138,123753.0256
0.0703,-71624.6815,-45727.3319,-31829.6812,-20523.1203,2273633.5460,1745708.6606,2894278.5586,1249758.7482,3168972.2226,1724112.4217,1570661.2744,1796063.0325,4891931.8643,2556197.5251,1374025.2700,839157.6101,1480970.9548,818275.7826,309097.7261,573717.6139,-135918.8592,-724.1751,-148068.0796,1293.8564,-114715.9849,-133173.3926,338030.4389,130681.2429
0.0723,-74382.3232,-47833.8647,-33164.7522,-21340.4143,2361123.5483,1810077.1683,3011904.4315,1306274.5665,3284539.8864,1798058.6184,1639966.6330,1867620.7076,5068832.7270,2660680.1126,1425171.0369,867747.0178,1533777.7082,851693.3709,322843.5531,595732.3722,-142681.6597,-824.2463,-154800.7902,1323.7001,-118248.1017,-137079.6603,352544.8640,137609.4603
0.0742,-77139.9650,-49940.3975,-34499.8232,-22157.7083,2448613.5507,1874445.6761,3129530.3044,1362790.3847,3400107.5503,1872004.8152,1709271.9917,1939178.3827,5245733.5896,2765162.7001,1476316.8038,896336.4255,1586584.4615,885110.9593,336589.3802,617747.1304,-149444.4602,-924.3175,-161533.5008,1353.5438,-121780.2184,-140985.9281,367059.2891,144537.6776
0.0762,-79897.6067,-52046.9304,-35834.8942,-22975.0022,2536103.5530,1938814.1838,3247156.1774,1419306.2030,3515675.2141,1945951.0119,1778577.3503,2010736.0577,5422634.4523,2869645.2876,1527462.5708,924925.8331,1639391.2149,918528.5476,350335.2072,639761.8887,-156207.2608,-1024.3887,-168266.2114,1383.3875,-125312.3352,-144892.1958,381573.7141,151465.8949
0.0781,-82655.2484,-54153.4632,-37169.9652,-23792.2962,2623593.5554,2003182.6916,3364782.0503,1475822.0212,3631242.8779,2019897.2087,1847882.7090,2082293.7328,5599535.3149,2974127.8751,1578608.3377,953515.2408,1692197.9683,951946.1359,364081.0342,661776.6470,-162970.0613,-1124.4599,-174998.9220,1413.2312,-128844.4520,-148798.4636,396088.1392,158394.1123
0.0801,-85412.8902,-56259.9960,-38505.0362,-24609.5902,2711083.5578,2067551.1993,3482407.9232,1532337.8394,3746810.5418,2093843.4054,1917188.0677,2153851.4078,5776436.1776,3078610.4626,1629754.1047,982104.6485,1745004.7216,985363.7243,377826.8612,683791.4053,-169732.8618,-1224.5311,-181731.6326,1443.0749,-132376.5687,-152704.7314,410602.5643,165322.3296
0.0820,-88170.5319,-58366.5288,-39840.1072,-25426.8841,2798573.5601,2131919.7071,3600033.7961,1588853.6577,3862378.2056,2167789.6021,1986493.4263,2225409.0829,5953337.0402,3183093.0501,1680899.8716,1010694.0562,1797811.4750,1018781.3126,391572.6883,705806.1635,-176495.6623,-1324.6023,-188464.3432,1472.9187,-135908.6855,-156610.9991,425116.9894,172250.5469
