Time,Dis_Dmp_LF,Dis_Dmp_LR,Dis_Dmp_RF,Dis_Dmp_RR,WFT_Fx_LF,WFT_Fx_LR,WFT_Fx_RF,WFT_Fx_RR,WFT_Fy_LF,WFT_Fy_LR,WFT_Fy_RF,WFT_Fy_RR,WFT_Fz_LF,WFT_Fz_LR,WFT_Fz_RF,WFT_Fz_RR,WFT_Mx_LF,WFT_Mx_LR,WFT_Mx_RF,WFT_Mx_RR,WFT_My_LF,WFT_My_LR,WFT_My_RF,WFT_My_RR,WFT_Mz_LF,WFT_Mz_LR,WFT_Mz_RF,WFT_Mz_RR
0.1270,-0.9616,0.0392,-4.6068,-5.1830,-54.6493,76.4175,68.4726,99.2704,-248.3334,-60.9772,-231.0819,-344.9901,4298.8518,3686.4176,4567.9378,3679.7499,300.8875,313.0579,-478.2730,-428.3031,24.6484,-5.0817,25.8327,2.7212,-15.2708,-13.6580,29.3071,20.6483
0.1289,-0.9158,0.0123,-4.5682,-5.2233,-56.8785,76.0787,66.5572,98.8011,-244.4178,-62.4819,-230.5553,-345.4646,4296.0851,3687.4281,4565.9993,3681.5199,301.7911,312.6849,-477.7038,-428.6202,25.1568,-5.0199,26.3328,2.7444,-14.5952,-13.6337,28.7649,20.6561
0.1309,-0.9264,-0.0040,-4.5869,-5.2440,-54.8819,76.2824,68.0231,99.0554,-249.8430,-63.0750,-229.4824,-344.2537,4296.4455,3687.7624,4566.7468,3681.8567,300.1714,312.5852,-477.5531,-428.2506,24.8788,-5.0799,26.0477,2.7120,-15.4700,-13.7733,29.3432,20.7590
0.1328,-0.8998,-0.0123,-4.5806,-5.2696,-55.5859,76.3384,67.7318,98.8279,-247.5929,-65.1628,-228.6876,-345.6387,4295.0288,3687.8242,4566.5201,3682.9515,300.7874,311.9300,-477.0385,-428.7335,24.9257,-5.0845,26.2829,2.7360,-15.1107,-13.6646,29.3415,20.8352
0.1348,-0.8334,-0.0708,-4.5629,-5.3874,-55.9738,76.3481,67.0492,98.5551,-251.1390,-69.1079,-227.1216,-344.6768,4290.0003,3688.9633,4566.0719,3687.1518,299.2432,310.8779,-476.4110,-428.8602,25.2416,-5.0930,26.6937,2.7232,-15.4967,-13.7851,29.4720,21.0076
0.1367,-0.8732,-0.0260,-4.6160,-5.3537,-53.2073,76.5251,68.9070,99.1163,-256.8728,-67.3886,-230.0395,-344.3512,4291.9476,3687.1303,4569.2736,3685.6690,297.6542,311.2858,-477.8569,-428.5181,24.6850,-5.1444,26.1581,2.7014,-16.3534,-13.8340,29.8617,20.9972
0.1387,-0.8386,-0.1098,-4.5670,-5.4112,-54.1763,76.6165,66.8953,98.7230,-259.9289,-68.5074,-229.6507,-341.1189,4290.0523,3690.4828,4565.3328,3687.0501,296.3559,311.3193,-477.4842,-427.7020,25.1956,-5.1349,26.6789,2.7428,-16.5098,-13.8978,29.6913,21.0869
0.1406,-0.7952,-0.0523,-4.6097,-5.4715,-53.7949,76.1576,65.7421,99.0871,-265.6604,-67.9744,-237.9324,-341.4900,4285.1741,3687.6218,4570.3772,3689.7292,294.0907,311.2722,-480.5713,-428.0085,25.2283,-5.0932,26.8395,2.6646,-16.8768,-13.9221,29.0047,21.0893
0.1426,-0.7354,0.0235,-4.6566,-5.5429,-54.1319,75.6158,63.3982,99.4101,-271.9239,-66.9197,-249.5022,-342.2078,4278.8090,3684.1653,4576.4087,3692.9865,291.4996,311.3207,-484.7269,-428.4477,25.4198,-5.0229,27.2347,2.5629,-17.0518,-13.8798,27.8792,21.0791
0.1445,-0.7167,0.0380,-4.6597,-5.5486,-54.7572,75.6095,61.8788,99.3816,-272.2598,-66.4635,-253.4701,-342.5290,4277.4951,3683.8433,4576.9874,3693.2582,291.2253,311.4245,-485.9639,-428.5099,25.5119,-5.0089,27.5212,2.5588,-16.7746,-13.7413,27.3541,21.0894
0.1465,-0.6661,-0.0199,-4.6161,-5.6073,-56.5031,75.6344,58.6964,99.0133,-274.0971,-67.1555,-256.1668,-340.3506,4274.3945,3686.3098,4574.1503,3694.9977,290.1916,311.4518,-486.5326,-428.0182,26.0914,-4.9762,28.2449,2.5808,-16.5390,-13.6826,26.6553,21.1752
0.1484,-0.6823,0.0517,-4.6374,-5.5544,-56.6399,75.2721,58.2397,99.2537,-272.7678,-64.5222,-261.6177,-341.7406,4274.9833,3683.9398,4576.3890,3693.7722,290.5393,311.9932,-488.5392,-428.3059,26.0084,-4.9193,28.0550,2.5917,-16.1639,-13.6242,26.0028,21.0016
0.1504,-0.6882,0.0050,-4.6151,-5.5718,-56.3253,75.5496,60.4546,99.2245,-270.0970,-66.9331,-253.4849,-341.4241,4275.6593,3685.2950,4574.3008,3694.3965,291.5802,311.3254,-485.7539,-428.4506,25.8372,-4.9685,27.7512,2.5845,-16.2797,-13.7463,26.8942,21.0892
